normal_OSCILLATING,normal_OTHER,normal_STATIONARY,anomaly_TREND_UP,anomaly_TREND_DOWN
-0.021810562204577777,-0.015710013284351343,,,
0.018660771497341022,0.045485401294720285,,,
0.030795057547687132,0.025525580351681898,,,
0.023172837274353097,0.04693022660783491,,,
-0.025553094233533524,0.046735620808062095,,,
0.05401404396424814,-0.01653641078284329,,,
-0.030475423421833625,0.0645185568704193,,,
0.06077814378952495,-0.0201246607936304,,,
0.03040274986454572,0.04645206157796117,,,
0.06786973429003118,0.05016823896598499,,,
0.03819205015123078,0.010874387071566016,,,
-0.03687442065603164,0.0468541806040253,,,
0.06779635638480647,0.027599651873152775,,,
-0.03760130245036186,0.06682569600985688,,,
0.009610714611149596,0.01470514040467008,,,
0.05964259339744893,-0.0026082285095764823,,,
0.005738219150613677,0.05107703298339811,,,
-0.04047896651128979,-0.010529351344585214,,,
-0.043900834869700645,0.047271625404300466,,,
0.024983315020789265,-0.04292161135395267,,,
0.04496482406451613,0.04723140349062238,,,
0.05904630732459054,0.04493678139068974,,,
-0.05302701320475989,-0.0451970752690648,,,
0.025942977027817005,0.04680875815225949,,,
-0.03311983334279012,-0.01942983771506962,,,
0.03701504051307963,0.028999868210907165,,,
0.0544147724251437,0.02520145641271765,,,
-0.012598395348188018,-0.002112424142738656,,,
0.046732087480123696,0.05176716198949716,,,
0.04760982681963999,-0.0025485023067226553,,,
0.006555696653962384,-0.0029529412710311287,,,
0.04588968456553616,0.06587182444198236,,,
0.05447156232823541,0.04904109584478539,,,
0.04828471665207262,0.018119196120012615,,,
0.0589853587212853,0.014353533274673758,,,
0.016207795528529634,-0.0036248736299338558,,,
0.07026833902842577,0.029839437197302365,,,
0.01958329543373627,0.010349066664815387,,,
0.0482439428858874,0.041719237448507696,,,
0.02544838408364336,0.037651663878370656,,,
0.06642793800474128,0.042345241254456434,,,
0.0386487639011987,0.04125420691489551,,,
0.06396241382885481,0.03913461594393963,,,
0.03954997966202639,0.038498696345718064,,,
0.025464634523214513,0.03604685226921667,,,
0.060227145573003626,0.022003607269033443,,,
0.029637894024947153,0.031296552011569834,,,
0.037548167820172174,0.022563671215704684,,,
0.04757452609626983,0.06323392383054022,,,
0.06327032613865785,0.0222593466736683,,,
0.029040355337444146,0.024255611571725566,,,
0.050910433978217096,0.023236541841030134,,,
0.0585372508642793,0.011519396371193646,,,
0.03721487195293416,0.048137254201925384,,,
0.05574625651611281,0.04946915362524856,,,
0.05105071498354152,0.04847884967127253,,,
0.049913827299660984,0.0031829480170739166,,,
0.032441429489848184,0.020960256513825215,,,
0.06323830562300325,-0.0013421214913235668,,,
0.048699663542946414,0.0644542680490725,,,
0.06530610353342103,-0.006736204814348223,,,
0.045958919098181006,0.06267432412039065,,,
0.03129589240334818,-0.037733445297655765,,,
0.030361000351982137,-0.006920531820091613,,,
0.07074494144401039,-0.010818184834567202,,,
0.07150541507200531,-0.07679988882453403,,,
0.049274315834895166,-0.000834388425428878,,,
0.01184142416406847,-0.054859278712168,,,
0.06776084888236944,0.011288844963017963,,,
0.0682772214553139,-0.02874135799587685,,,
0.06182627478925706,-0.058913369377250335,,,
0.050580679508996085,-0.07027014437862322,,,
0.03534013326627522,-0.038466564063621145,,,
0.05492976999052801,0.009081230444014265,,,
0.07314165162763442,-0.06687781685234828,,,
0.06403116945548765,-0.06856045226327379,,,
0.06586091516475134,0.05095058119113155,,,
0.07140092173016227,-0.05593071742474587,,,
0.05263285000835177,0.05061318896116418,,,
0.054902548876845925,-0.05886407413079431,,,
0.07642074739926041,0.048233521642175425,,,
0.07471492336893176,-0.008918694049494913,,,
0.0552132550973119,-0.05082127122018343,,,
0.05230139414408974,0.005294196505808868,,,
0.07424023543103797,0.04828452739246819,,,
0.05204256476980462,-0.023757564157444455,,,
0.07380218086144591,-0.0583855357538845,,,
0.05733059002824259,0.04765565353415924,,,
0.06403290172011805,-0.015263697751961736,,,
0.047803987167222284,0.048313606893109096,,,
0.05686781014180481,-0.021426678535491517,,,
0.054803134788770747,-0.03219661085161707,,,
0.04609380463920487,-0.03154386693377731,,,
0.05931417049624299,-0.032820852756269336,,,
0.06118313315266144,-0.0022358378101466903,,,
0.0565595235695574,0.027833752968889847,,,
0.07212207442844842,-0.005596513644030354,,,
0.06393743143576974,-0.003634198863798732,,,
0.07323556167811679,-0.051901775922209015,,,
0.05306204431949452,0.008575816017138416,,,
0.07951922846651133,-0.0025903360033663336,,,
0.07297816781957545,0.020946069923727384,,,
0.07527936108024164,-0.01990529092078913,,,
0.08073151891768021,0.045084012337593016,,,
0.04576760952805137,0.011645380556048635,,,
0.04657555061946933,0.030717178145025004,,,
0.07603044185000307,0.027969703988500627,,,
0.07889169678902724,-0.0031292263267564957,,,
0.07464430974304814,0.04954017476370409,,,
0.051985632282975036,-0.040058992198253485,,,
0.0760186069436029,0.06289504307692467,,,
0.06046535524397878,0.04357075606702365,,,
0.07584591042942196,-0.010860813142355707,,,
0.064213510673086,0.06918765089923684,,,
